ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J60_36_8,default,600000.0,191902.0,69,1214084,OPT,27.75147079925384,37,69.0,69.0,69.0,0.0
J60_36_9,default,600000.0,102867.0,86,1062446,OPT,22.407945736434108,28,86.0,86.0,86.0,0.0
J60_37_1,default,600000.0,145851.0,96,421201,SAT,64.79166666666667,24,97.0,97.0,97.0,1.0309278350515463
J60_37_10,default,600000.0,258868.0,95,533157,SAT,67.17860224331321,15,96.0,96.0,96.0,1.0416666666666665
J60_37_2,default,600000.0,357994.0,95,789670,SAT,60.23193577163247,18,95.0,95.0,95.0,0.0
J60_37_3,default,600000.0,584499.0,163,1265225,SAT,60.154988698740716,56,139.0,139.0,139.0,-17.26618705035971
J60_37_4,default,600000.0,514516.0,100,1567749,SAT,63.76666666666667,18,101.0,101.0,101.0,0.9900990099009901
J60_37_5,default,600000.0,591767.0,96,952161,SAT,67.61532738095238,16,98.0,98.0,98.0,2.0408163265306123
J60_37_6,default,600000.0,427245.0,102,1330557,SAT,64.65686274509804,20,102.0,102.0,102.0,0.0
J60_37_7,default,600000.0,370132.0,121,781784,SAT,61.41800782949108,31,110.0,110.0,110.0,-10.0
J60_37_8,default,600000.0,246811.0,91,701538,SAT,67.45710429920956,17,93.0,93.0,93.0,2.1505376344086025
J60_38_1,default,600000.0,24860.0,73,77934,OPT,59.19250180245134,30,73.0,73.0,73.0,0.0
J60_38_10,default,600000.0,96011.0,65,477568,OPT,62.79463655610444,12,66.0,66.0,66.0,1.5151515151515151
J60_38_2,default,600000.0,532964.0,77,1370016,SAT,63.89902232598862,11,76.0,76.0,76.0,-1.3157894736842104
J60_38_3,default,600000.0,38597.0,77,296971,OPT,63.81408065618592,19,77.0,77.0,77.0,0.0
J60_38_4,default,600000.0,48985.0,58,268430,OPT,64.83477011494253,14,58.0,58.0,58.0,0.0
J60_38_5,default,600000.0,96512.0,103,397459,OPT,51.63283318623124,38,103.0,103.0,103.0,0.0
J60_38_6,default,600000.0,216321.0,86,758344,OPT,55.42168674698795,35,86.0,86.0,86.0,0.0
J60_38_7,default,600000.0,311934.0,74,792206,OPT,57.71802730565617,17,74.0,74.0,74.0,0.0
