ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J60_44_3,grdlw,600000.0,141.0,87,191,OPT,35.11916358205078,0,,,,
J60_44_4,grdlw,600000.0,131.0,77,225,OPT,43.67146367146367,0,,,,
J60_44_5,grdlw,600000.0,83.0,74,152,OPT,47.279158352983856,0,,,,
J60_44_6,grdlw,600000.0,100.0,81,165,OPT,36.77712800519818,0,,,,
J60_44_7,grdlw,600000.0,75.0,76,142,OPT,36.04060913705584,0,,,,
J60_44_8,grdlw,600000.0,116.0,83,176,OPT,41.231593038821956,0,,,,
J60_44_9,grdlw,600000.0,88.0,65,144,OPT,45.75771533855366,0,,,,
J60_47_1,grdlw,600000.0,528.0,75,721,OPT,58.46886446886447,6,,,,
J60_47_3,grdlw,600000.0,3491.0,69,4030,OPT,71.78175618073315,11,,,,
J60_47_4,grdlw,600000.0,606.0,76,1173,OPT,61.7719298245614,10,,,,
J60_47_5,grdlw,600000.0,90252.0,87,79779,OPT,62.18303062209354,11,,,,
J60_47_6,grdlw,600000.0,490.0,76,679,OPT,59.74037442599788,8,,,,
J60_47_7,grdlw,600000.0,2714.0,68,4000,OPT,65.86782861292664,9,,,,
J60_47_8,grdlw,600000.0,7220.0,71,9836,OPT,69.12984757862242,7,,,,
J60_47_9,grdlw,600000.0,6565.0,76,8250,OPT,61.60059960026649,14,,,,
J60_48_1,grdlw,600000.0,114.0,71,169,OPT,40.735843633227944,0,,,,
J60_48_10,grdlw,600000.0,140.0,70,157,OPT,49.72612879348631,0,,,,
J60_48_2,grdlw,600000.0,99.0,87,144,OPT,37.669801462904914,0,,,,
J60_48_3,grdlw,600000.0,280.0,84,171,OPT,48.51774042950513,0,,,,
J60_48_4,grdlw,600000.0,100.0,62,159,OPT,52.42340735937753,0,,,,
J60_48_5,grdlw,600000.0,118.0,101,162,OPT,39.676533098336016,0,,,,
J60_48_6,grdlw,600000.0,114.0,66,166,OPT,54.56876456876457,0,,,,
J60_48_7,grdlw,600000.0,211.0,77,223,OPT,49.58166833166833,0,,,,
J60_48_8,grdlw,600000.0,132.0,88,170,OPT,47.0,0,,,,
J60_48_9,grdlw,600000.0,112.0,82,163,OPT,41.28830519074422,0,,,,
J60_4_1,grdlw,600000.0,246.0,84,209,OPT,24.95590828924162,0,84.0,84.0,84.0,0.0
J60_4_10,grdlw,600000.0,67.0,77,145,OPT,27.954545454545453,0,77.0,77.0,77.0,0.0
J60_4_2,grdlw,600000.0,69.0,60,174,OPT,26.038011695906434,0,60.0,60.0,60.0,0.0
