ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J60_38_2,vslw,600000.0,364053.0,78,393579,SAT,63.684817055603574,14,76.0,76.0,76.0,-2.631578947368421
J60_41_1,vslw,600000.0,339007.0,134,191489,SAT,70.54646124217622,19,122.0,122.0,122.0,-9.836065573770492
J60_41_10,vslw,600000.0,184867.0,128,77049,SAT,69.87621753246754,23,111.0,111.0,111.0,-15.315315315315313
J60_41_2,vslw,600000.0,555542.0,122,260266,SAT,68.5831381733021,21,113.0,113.0,113.0,-7.964601769911504
J60_41_3,vslw,600000.0,422568.0,115,303010,SAT,69.74389517569982,29,89.0,98.0,,
J60_41_4,vslw,600000.0,464271.0,142,188578,SAT,68.25213576541215,20,133.0,133.0,133.0,-6.7669172932330826
J60_41_5,vslw,600000.0,162320.0,132,91972,SAT,69.66304839439168,28,109.0,115.0,,
J60_41_6,vslw,600000.0,523753.0,151,246485,SAT,64.91100993377484,27,134.0,134.0,134.0,-12.686567164179104
J60_41_7,vslw,600000.0,506864.0,150,267428,SAT,65.88888888888889,36,132.0,132.0,132.0,-13.636363636363635
J60_41_8,vslw,600000.0,496554.0,155,240177,SAT,63.307731694828476,20,135.0,135.0,135.0,-14.814814814814813
J60_41_9,vslw,600000.0,471250.0,148,205613,SAT,67.2104247104247,30,131.0,131.0,131.0,-12.977099236641221
J60_42_3,vslw,600000.0,324161.0,80,267181,SAT,75.36616161616162,17,,,,
J60_42_4,vslw,600000.0,251758.0,103,137423,SAT,66.5470662726889,15,,,,
J60_42_7,vslw,600000.0,263571.0,59,216334,SAT,71.20184899845917,9,,,,
J60_42_8,vslw,600000.0,174235.0,83,114185,SAT,75.56475903614458,16,,,,
J60_45_1,vslw,600000.0,169567.0,114,76646,SAT,72.42654829845698,19,,,,
J60_45_10,vslw,600000.0,466767.0,131,189422,SAT,74.78983476664412,26,,,,
J60_45_2,vslw,600000.0,574773.0,169,172567,SAT,74.58908612754766,37,,,,
J60_45_3,vslw,600000.0,347401.0,172,117412,SAT,69.82558139534883,27,,,,
J60_45_4,vslw,600000.0,418737.0,128,278214,SAT,72.7829391891892,28,,,,
J60_45_5,vslw,600000.0,210956.0,127,128569,SAT,76.3883133029424,34,,,,
J60_45_6,vslw,600000.0,475116.0,170,162523,SAT,68.75630252100841,15,,,,
J60_45_7,vslw,600000.0,566415.0,142,287901,SAT,72.2554505112869,25,,,,
J60_45_8,vslw,600000.0,320020.0,149,97297,SAT,75.35570469798658,37,,,,
J60_45_9,vslw,600000.0,417516.0,146,169420,SAT,70.5028839221341,21,,,,
J60_46_1,vslw,600000.0,99485.0,79,60919,SAT,73.37936325278098,16,,,,
J60_46_10,vslw,600000.0,302025.0,95,205955,SAT,75.1746623195156,18,,,,
J60_46_3,vslw,600000.0,189987.0,82,139817,SAT,70.4696633743197,12,,,,
J60_46_4,vslw,600000.0,314197.0,76,212191,SAT,72.55224458204334,10,,,,
J60_46_5,vslw,600000.0,181276.0,94,115566,SAT,70.68657250134096,12,,,,
J60_46_6,vslw,600000.0,469728.0,92,284257,SAT,74.98944702406078,14,,,,
J60_46_7,vslw,600000.0,576081.0,82,383832,SAT,73.03970973594033,10,,,,
J60_46_8,vslw,600000.0,436442.0,77,257553,SAT,77.87212787212788,9,,,,
J60_46_9,vslw,600000.0,315726.0,71,239861,SAT,75.120586532896,14,,,,
J60_5_1,vslw,600000.0,192204.0,79,182271,SAT,69.75450709627926,13,76.0,76.0,76.0,-3.9473684210526314
J60_5_10,vslw,600000.0,119974.0,88,101447,SAT,66.01957070707071,18,81.0,81.0,81.0,-8.641975308641975
J60_5_2,vslw,600000.0,278407.0,116,127549,SAT,63.680045223289994,26,106.0,106.0,106.0,-9.433962264150944
J60_5_3,vslw,600000.0,487164.0,84,390086,SAT,68.60994397759103,15,80.0,80.0,80.0,-5.0
J60_5_4,vslw,600000.0,451476.0,75,401636,SAT,69.35483870967742,14,72.0,72.0,72.0,-4.166666666666666
J60_5_5,vslw,600000.0,452226.0,114,275018,SAT,64.15820252385349,24,108.0,108.0,108.0,-5.555555555555555
J60_5_6,vslw,600000.0,293243.0,77,293534,SAT,69.29499072356215,23,74.0,74.0,74.0,-4.054054054054054
J60_5_7,vslw,600000.0,261078.0,79,210831,SAT,72.82700421940929,15,75.0,75.0,75.0,-5.333333333333334
J60_5_8,vslw,600000.0,350035.0,78,239628,SAT,70.02442002442002,19,78.0,78.0,78.0,0.0
J60_6_6,vslw,600000.0,27313.0,55,44856,SAT,66.06060606060606,16,55.0,55.0,55.0,0.0
J60_9_1,vslw,600000.0,387467.0,99,164948,SAT,70.34632034632034,25,82.0,87.0,,
J60_9_10,vslw,600000.0,510503.0,107,279005,SAT,74.89264965900479,30,93.0,93.0,93.0,-15.053763440860216
J60_9_2,vslw,600000.0,393587.0,88,276590,SAT,74.68866749688668,21,82.0,82.0,82.0,-7.317073170731707
J60_9_3,vslw,600000.0,44390.0,117,27594,SAT,70.94017094017094,26,100.0,100.0,100.0,-17.0
J60_9_4,vslw,600000.0,415881.0,96,173835,SAT,71.875,23,87.0,87.0,87.0,-10.344827586206897
J60_9_5,vslw,600000.0,137191.0,99,56276,SAT,74.96296296296296,29,82.0,85.0,,
J60_9_6,vslw,600000.0,485054.0,127,157602,SAT,70.60712805636138,25,105.0,111.0,,
J60_9_7,vslw,600000.0,470974.0,126,208418,SAT,68.83876357560568,28,100.0,109.0,,
J60_9_8,vslw,600000.0,547368.0,110,264933,SAT,73.7960687960688,35,96.0,96.0,96.0,-14.583333333333334
J60_9_9,vslw,600000.0,123330.0,112,45630,SAT,72.10393772893772,24,99.0,99.0,99.0,-13.131313131313133
J90_13_1,vslw,600000.0,342550.0,167,73467,SAT,78.23663018790006,49,127.0,138.0,,
J90_13_10,vslw,600000.0,523138.0,144,129047,SAT,81.5165544332211,58,112.0,120.0,,
J90_13_2,vslw,600000.0,246769.0,157,58198,SAT,76.59235668789809,62,118.0,127.0,,
J90_13_3,vslw,600000.0,412280.0,131,101458,SAT,77.5856245355671,50,104.0,108.0,,
J90_13_4,vslw,600000.0,310789.0,131,72714,SAT,81.4834830777545,48,108.0,112.0,,
J90_13_5,vslw,600000.0,485016.0,139,122619,SAT,79.29656274980016,56,108.0,115.0,,
J90_13_6,vslw,600000.0,453760.0,153,108682,SAT,77.15591090805253,59,118.0,124.0,,
J90_13_7,vslw,600000.0,370200.0,148,90128,SAT,79.26351351351352,54,117.0,124.0,,
J90_13_8,vslw,600000.0,488673.0,143,150385,SAT,80.29879211697394,67,112.0,117.0,,
J90_13_9,vslw,600000.0,583693.0,149,150660,SAT,79.47721653126104,53,116.0,124.0,,
J90_14_6,vslw,600000.0,98297.0,79,36507,SAT,80.6945456955398,33,76.0,76.0,76.0,-3.9473684210526314
J90_17_10,vslw,600000.0,341782.0,89,305088,SAT,60.65409309791332,19,89.0,89.0,89.0,0.0
J90_17_2,vslw,600000.0,197627.0,100,193902,SAT,52.62264150943396,13,100.0,100.0,100.0,0.0
J90_1_1,vslw,600000.0,134624.0,75,167757,SAT,71.92857142857143,28,73.0,73.0,73.0,-2.73972602739726
J90_1_3,vslw,600000.0,192447.0,67,215709,SAT,65.48834773500917,24,66.0,66.0,66.0,-1.5151515151515151
J90_1_4,vslw,600000.0,122961.0,87,138443,SAT,58.31820931639443,36,86.0,86.0,86.0,-1.1627906976744187
J90_1_8,vslw,600000.0,404611.0,93,459090,SAT,63.12569521690767,29,95.0,95.0,95.0,2.1052631578947367
J90_1_9,vslw,600000.0,75701.0,71,107905,SAT,60.947503201024325,24,72.0,72.0,72.0,1.3888888888888888
J90_21_1,vslw,600000.0,32917.0,133,18362,SAT,70.35125126248457,48,109.0,110.0,,
J90_21_10,vslw,600000.0,458814.0,127,228298,SAT,67.35564304461941,47,109.0,109.0,109.0,-16.51376146788991
J90_21_2,vslw,600000.0,404475.0,134,194539,SAT,69.32383536861148,52,116.0,116.0,116.0,-15.517241379310345
J90_21_3,vslw,600000.0,538582.0,138,247662,SAT,66.01247987117553,30,124.0,124.0,124.0,-11.29032258064516
J90_21_4,vslw,600000.0,484241.0,113,308949,SAT,67.85064856346223,40,106.0,106.0,106.0,-6.60377358490566
J90_21_5,vslw,600000.0,393885.0,130,155528,SAT,66.71428571428571,33,112.0,112.0,112.0,-16.071428571428573
J90_21_6,vslw,600000.0,203519.0,120,105460,SAT,70.30405405405405,42,106.0,106.0,106.0,-13.20754716981132
J90_21_7,vslw,600000.0,393557.0,129,149477,SAT,66.40055536272128,48,105.0,109.0,,
J90_21_8,vslw,600000.0,494269.0,126,218854,SAT,74.001924001924,44,107.0,111.0,,
J90_21_9,vslw,600000.0,423162.0,137,185281,SAT,64.4589952769429,38,121.0,121.0,121.0,-13.223140495867769
J90_25_1,vslw,600000.0,523889.0,147,176995,SAT,70.46768707482994,39,114.0,124.0,,
J90_25_10,vslw,600000.0,27433.0,156,6105,SAT,70.59396299902629,47,118.0,130.0,,
J90_25_2,vslw,600000.0,421154.0,161,110737,SAT,72.37095737845362,60,123.0,131.0,,
J90_25_3,vslw,600000.0,223328.0,152,80003,SAT,72.49826869806094,49,115.0,123.0,,
J90_25_4,vslw,600000.0,111707.0,165,31747,SAT,70.22000830220009,45,127.0,138.0,,
J90_25_5,vslw,600000.0,571773.0,143,202945,SAT,71.50143973673386,54,109.0,114.0,,
J90_25_6,vslw,600000.0,264900.0,148,67026,SAT,73.48555452003728,66,112.0,121.0,,
J90_25_7,vslw,600000.0,309094.0,159,94467,SAT,70.04622262635448,37,123.0,130.0,,
J90_25_8,vslw,600000.0,321030.0,177,78506,SAT,74.42090395480227,79,133.0,140.0,,
J90_25_9,vslw,600000.0,455744.0,125,156350,SAT,74.45853658536585,36,97.0,106.0,,
J90_26_2,vslw,600000.0,163320.0,90,67832,SAT,74.78017585931255,39,85.0,85.0,85.0,-5.88235294117647
J90_26_4,vslw,600000.0,577890.0,104,165425,SAT,74.78966346153845,40,97.0,97.0,97.0,-7.216494845360824
J90_26_5,vslw,600000.0,502598.0,90,254677,SAT,70.69216757741347,28,82.0,85.0,,
J90_26_7,vslw,600000.0,384121.0,84,291467,SAT,70.81927259092613,29,82.0,82.0,82.0,-2.4390243902439024
J90_26_8,vslw,600000.0,408530.0,85,166822,SAT,72.91825821237586,36,82.0,82.0,82.0,-3.6585365853658534
J90_29_1,vslw,600000.0,499391.0,161,149476,SAT,75.04436557231588,49,125.0,135.0,,
J90_29_10,vslw,600000.0,253479.0,146,65628,SAT,78.6692759295499,50,117.0,125.0,,
J90_29_2,vslw,600000.0,61917.0,151,13887,SAT,76.50993377483444,56,123.0,126.0,,
J90_29_3,vslw,600000.0,130728.0,177,22921,SAT,76.32197041833302,62,135.0,144.0,,
J90_29_4,vslw,600000.0,455795.0,180,95275,SAT,75.16149870801033,40,141.0,149.0,,
J90_29_5,vslw,600000.0,108017.0,140,32274,SAT,77.5233644859813,37,114.0,121.0,,
J90_29_6,vslw,600000.0,499185.0,150,124530,SAT,80.22875816993465,64,116.0,124.0,,
J90_29_7,vslw,600000.0,187518.0,209,20252,SAT,75.6578947368421,54,158.0,170.0,,
J90_29_8,vslw,600000.0,572608.0,190,169489,SAT,75.837870538415,55,145.0,154.0,,
J90_29_9,vslw,600000.0,288379.0,156,54780,SAT,76.64102564102564,49,118.0,127.0,,
J90_30_10,vslw,600000.0,386303.0,91,155110,SAT,81.45054945054945,29,90.0,90.0,90.0,-1.1111111111111112
J90_30_5,vslw,600000.0,413034.0,92,169958,SAT,79.20828437132785,31,83.0,83.0,83.0,-10.843373493975903
J90_30_7,vslw,600000.0,243887.0,88,100135,SAT,76.6711229946524,28,84.0,84.0,84.0,-4.761904761904762
J90_30_9,vslw,600000.0,436590.0,105,101277,SAT,74.8901098901099,31,90.0,94.0,,
J90_37_1,vslw,600000.0,583141.0,124,285649,SAT,66.99308755760369,31,110.0,110.0,110.0,-12.727272727272727
J90_37_10,vslw,600000.0,561572.0,146,231896,SAT,67.24782067247821,31,123.0,123.0,123.0,-18.69918699186992
J90_37_2,vslw,600000.0,290979.0,127,136774,SAT,71.30974825329932,46,113.0,115.0,,
J90_37_3,vslw,600000.0,472420.0,147,212040,SAT,64.7757408047965,27,132.0,132.0,132.0,-11.363636363636363
J90_37_4,vslw,600000.0,35433.0,141,17365,SAT,69.26008256589394,54,123.0,123.0,123.0,-14.634146341463413
J90_37_5,vslw,600000.0,556099.0,146,225485,SAT,67.86436110487311,42,126.0,126.0,126.0,-15.873015873015872
J90_37_6,vslw,600000.0,363019.0,156,118531,SAT,65.67164179104478,51,129.0,131.0,,
J90_37_7,vslw,600000.0,599072.0,136,222503,SAT,66.80502846299811,32,123.0,123.0,123.0,-10.569105691056912
